title,link,company,summary
Senior Desktop Support Engineer,https://www.indeed.hk/company/BGC-Group-(HK)-Limited/jobs/Senior-Desktop-Support-Engineer-b74fa0b63a2cb17f?fccid=01ce1daca195dfcc&vjs=3,BGC Group (HK) Limited,"Hands-on experience in all-rounded technical skills on desktop support and, ideally on server administration and software and back-end administration...."
Experienced PHP (Laravel/Symfony) software engineers wanted!,https://www.indeed.hk/company/PALO-IT-Hong-Kong/jobs/Experienced-PHP-Software-Engineer-13793949f13569bb?fccid=4c76a0b541dce81e&vjs=3,PALO IT Hong Kong,Have 4+ years of Software Development experience. PALO IT Hong Kong is looking for experienced PHP (Laravel/Symfony) software engineers!...
Senior Software Engineer,https://www.indeed.hk/rc/clk?jk=6b0d3df6721776be&fccid=b85978a1eb01aa1a&vjs=3,WorldFirst,"As a senior software engineer, you are expected to simplify problems and create abstractions. Modern software engineering practices...."
Software Quality Assurance Engineer,https://www.indeed.hk/company/Magnetic-Asia-Limited/jobs/Software-Quality-Assurance-Engineer-a957f07b3069fd46?fccid=7af249aecdcc33d5&vjs=3,Asia Ticketing Limited,We are looking for a highly motivated QA Engineer to develop and execute exploratory and automated tests to ensure product quality....
Junior Java Software Engineer (Multiple headcounts),https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9q-7wlKkIieoG85tHChHuoTsIPOZSLzIY3uynARd1cU4ifY5aOBjeVRK74lM4mtTrrJYhxivkKRsVihhAbJcEPoYNge44hl3nWd_XfDuJ5EpTxiudaaoVJ5vv36lQ3kHQE7rR2dWaEstcTVcUkQ5KoGMT8HcrR22X4KCg_Fh3BzTB60PgyWUXg79bMw-ucc_-FESWikrdxhiBGnnB61duiSGxSfk2mJCEuG_01facR4LoukZ_yOpjnF-yeTlxjTtTRShtOq5-3UWddd23Jdl8R8ph_VAe0RaJxqVgm5ZPZXOj0hBsNCYf3WZKFk-ZYYTlLlTJzR9aeRzAIBXwmaoV3LYRpa2JlEmb8MoOzuHmTvytfU8JN6yWLyFzZkxkqzpIB4oliTKb-ew1tvY7hDWeNfOVogMkZddyeuAWK9Y9GAonYQOXA6bCKZsNbWbuKRraAVLDSW1F1HwKCzRBkR7ElJJqwGwkZQAusmskKoxBf1tKxcGrcqcRz5Bol6PmPWxb6wxRCmvYoNKkTp7A870jBCz2F8YdgaahhBUspLxLO5oNXta9EodZBEVXHfdpbvtLsAOXDekSqNYNp-Ryg7Mpg44XgCaTV9zIJc_zMdYreVK476JCLGqbtoltjv37GgzX2zUUDGiecZjgF_PLgK-A-ihLsHwzuxsSvjdYu9aSJ6q7kUU-0dZc5t9GOfa6iO9BwT0daPyk1pyjytJC8ya9tRwF3pjLriTHZFTYOSL3jscHG8RaiOJ5FFE-5SsdeHDlDeGTC41b5XCkhwWXoIgAy2v-U0ALMBnR2jJE8iZAcIvl5WJGz6ZMjdeL040Ka16efevcTqKcCNO&vjs=3&p=14&fvj=0,TEKsystems Hong Kong,Requirements Degree holder in Computer Science or related discipline(s) Minimum 1 year related working experience in web application development Experience...
Embedded Software Engineer,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0DeDQaCCNH4TVQJq2yzNWktIJ0vyeJr6KV6n_kEUXRmuEmNS2ZRNi9PppLP5ckIl3WWhQuUaQnDc-e51rXv-GEeDhj_ipuXLFSE9OJZPNdp-EC_mo1TVIrDa6_I_60jDwUJC9S3UWRlsoasRoF-08ExZmqYTbZth43WrMyVGN8hIChFhceoHUSzG8KNxwOfAt_2UIXx6Ndog09Iz07vUR9zD9SFZM2cthxOtPKTdBlDMX3AXtJag5kPkL6z9IF6CMR2a3ZfPzSfpgfYcNVFCgKuBdnnWarxD9QxlQa3acaRymnR5CxfxBpsrWn9OHrTs6zxBoFHx-h4_uPzAlVF3nHAbLn-q3V9woGWxgMn7NzUY-kKAuHrHLML5xdkzcVU9P8ahMVx1FW4vjqai399IDsQEu2LpIRZy8HzyCtMiz5RRpMs7t4diRyo818hYaUQ6kdBZId5YDUpTza8EAK8BQmI&vjs=3&p=15&fvj=1,ASM Technology Hong Kong Limited,Bachelor or higher in Electronic Engineering / Computer Science / Software Engineering or relevant disciplines....
Security Engineer - Virtual Bank,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9q-7wlKkIieoG85tHChHuoRu6VJOfJRCi4eowYMd4pduKP8XrGOD1kXmgaHglAmf6uidbNIRCEcSPBf9nk8g9k8SSpw5q3W84UDVt-h4XFDavSEUEYmMOabCsWS-B4glysN9mvLP2ArRXn-EIgPI2YSfsjhx2ojroSeTkWsWZo8aPE8cQhCSak2yh-8ZsvIjrQ6TnobQ9KxgqMwunTKw0dgj76-sGB2QNpq_liqAJZDaIR7gd7-0mzO_M-Zc_mF0y--MztX3OOtefCmByuXPf83ccxv1SrKCpBBmAcWKP54kLyFqAEyaY6DiwXzNQnXYY9ZopStllBhRXjI4ARngCKrGqvpK7muCiWD2_cqJgmqew0gcbBtjQrTgKvDOn3juMkFbDONTdoGi1UHi8oXE4qjZocs_HjGx0wROICG9AzXWWY5azWBixrx3M3mikujcU5w5xWp3fGitOk6XvqczcJqeikEB7SeWgDBmCJMM9YiUU_KXASt9i_fbOPuOv3VMNWglR0bkyjCzAFYQ6nLRonjAaJVJ89hKwlxElUIpF0jNkvL0fIOwydgQyAhZbbA_aC3gmZZzWIT_MyZ_ISK7ErB4SwCvvMGnbSv3IgK86fgBQh-pjWKc8L_XIMGxhFrJqyT_gtzlGqx-sA7Sa620aW5-pp0RQJqSYryGXRw7UT4sd0CKjyzaE5Tb1O2q2-87gQL0lNf2FnSeWYWnVJtNiJnwIqZpmHaq8AVoQhXYdizq-q7gywhBTKREywTIAliDXWTyFhKqcl4mhu6mED-YPAfSyrTTW_E0uzT50mPJyoRaSBdbIopZfz0=&vjs=3&p=0&fvj=0,"Pure Hong Kong, EA Licence No: 12S5954","Knowledge of anti-virus software functionally and capabilities. Perform daily vulnerability assessments, threat assessments, mitigation and reporting activities..."
JUNIOR SOFTWARE ENGINEER ,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0B8923wdJEOWFXnhIUD-7J3ix2D-onsxj5k50ooZ5eszwv6H7Ug3nSwIbYzJ4SSSJIUFLOEDBgEZ1NzJCbvlNguwKTVNgcCoINQIWq39RbGihklouGXwN8bh5tygkgak8eGPz_i0hNYH4JBcoA0mZzPlfiejnbBehHQhS2Q2k68qnYHPN3Lc3U5U7scVl39bOinPKLX2p-UGAqwj7tOskKWGSKQwa2mnl_DoX8rQHEBSvvxVGH2MrK_Zt4MJkbDBbThP5OxL2IEK362fzi_hUrLlDWLpg01DYRKxKWF-_LFfRgaOGu9AZsKCX-XWIWg7Eweevb2KZZ613TvLurDJoCW9y1JDsMNXphns-mHmpcCOOqyxdwmz_D6i0G0oh9c-j0YzPl2l9iKX1XfdOAnV8Jaj4Y-wEldWLNQot7FwrvZT1UGPN5NDNQPwBA0qMGGjcD0dmoiqWUPZXpg0IMIrCJdaP_pcdee2ShWUP1NkdQLEIsCiCP00TZMNcOKjt6MSJrc5WOjhs4JVyP7ZlWGtPUlP1qHaWKKwSTLk_MNdKNWh3H3K5jW8XHXZu7aFtSZ22iU8w7f8hl8w34QvJPQwIp3IJirNaS3dQaA9L265ztAEwqgAnAR4goKgKFEbyrxZtPOAwklw1Wjbg==&vjs=3&p=1&fvj=0,88JOBS,CDI  100088JOB88JOBS.cn 
"Senior Software Engineer, Business Transformation",https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9q-7wlKkIieoG85tHChHuoRazb3PVRd5Bs8MhIlpVUQJzl0jqahv_rlXUXdXvnXV699qplgvwYyH9hJBN0oSuTHkWK5nxeLo5YbW5lm8j88N1WLz9hBk-ifCemo0-uxJjV6lZLA5Ay_L-tnqMyZiO16PdX2cnMJ_id9JZ9G8jJ3BvtR7_fAPCbJ1RJeZNsPxLxzw0JoAjBsdDNdW72wbHrQIIBo2Wssc-VEfOr1lznV42Sy6bq_cqmlRfYrlbDWIsCvKU1VC7cBczsBlIU-zhfGo46iQKDiF990ScQmY4MbKk5R6Htc_2dLlHq1XJodR_lInHBq7Ij4p2muY1jNiGklrGiQwm46GshgWcc25R9s0FuEMNlldgB_6aTlfGfdQ54kGviubKVL2E8jVQ0xYwNL-YUHf9tIXpOCrlsLdc2z54iGk856aPFJQwHb17ruSVlko4SifV903nAnNTolC8rHwWJC14OnhVkmaWlryXDjYtceyUdG-QfkxUWGessKsdKPT958Kr-WzOL799aj0Q_VH8gPMCXi-ShSH9sprHOpxM1AFg8t_C3h8iofq9bUXW4YdPBbIaWRncAEmCuHJKFPvf1e12aMHzHBSKNqWeqvDPiBGoC1QPuaBWroEYSHm5BrVV2TNfzIKkojoc0LtZHVQUKprdLpr70p9Rf0tCk2W0o4nPB0Z9L7cPh_ciRxRx_5Tl1UM5xHi7VRWtK4_zlMFOUdKRPOlyvA9HmuC1fyvwi5CByjP4xhkociImwMhlIoXiyWkbGkClXO0I0m8fpGzW-cP-g5RSaY_UJmyC2MlqP4H6KqfWHxhEzawR8EcxstOHjIHJmD_&vjs=3&p=2&fvj=0,Bluemont Consulting,"Solid experience in Software Design and Development for enterprise application projects. Bachelor Degree in Computer Science, Mathematics or relevant..."
Senior Quality Assurance Engineer,https://www.indeed.hk/company/Seekers-Capital-Group/jobs/Senior-Quality-Assurance-Engineer-a27f4c2b77c881ac?fccid=f739a8d0ed102c38&vjs=3,Seekers Capital Group,"Proven work experience in software development and software quality assurance. Strong knowledge of software QA methodologies, tools and processes...."
